Model_Name,Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
Transfer_Optimized_Hybrid,1,0.5594046087878467,0.7098721621274958,0.478048829532344,0.7708041180695694
Transfer_Optimized_Hybrid,2,0.4515491449301319,0.790089358245329,0.42682257259589695,0.8013134042480419
Transfer_Optimized_Hybrid,3,0.4099562510025548,0.812792338278678,0.40020506075657714,0.8186202414748435
Transfer_Optimized_Hybrid,4,0.3808322881919871,0.8294839454444397,0.3795062592371905,0.8292574477545576
Transfer_Optimized_Hybrid,5,0.3601822661063513,0.8410192825687289,0.3769888041748224,0.8324041454321579
Transfer_Optimized_Hybrid,6,0.3477921949014876,0.8466886143058703,0.3566788122413153,0.8394842152067585
Transfer_Optimized_Hybrid,7,0.333893419676234,0.8557698063192098,0.3529947021328262,0.8424940999418545
Transfer_Optimized_Hybrid,8,0.32189765410469356,0.8618410363846253,0.35128600876496135,0.8456750008550808
Transfer_Optimized_Hybrid,9,0.3135975885041594,0.8658685706956262,0.3425123575823445,0.8484112597051681
Transfer_Optimized_Hybrid,10,0.30410756077516266,0.872427209371927,0.34462852319744874,0.849129527653316
Transfer_Optimized_Hybrid,11,0.2952494756166481,0.8758989268459533,0.34172060010913263,0.8479324144064029
Transfer_Optimized_Hybrid,12,0.2876142495928949,0.8796699303091197,0.3403113961115815,0.851386941204638
Transfer_Optimized_Hybrid,13,0.280891375253284,0.8839197913549104,0.3428950406559744,0.8508054861989944
Transfer_Optimized_Hybrid,14,0.27436770074889133,0.8871007738680576,0.35741212576710296,0.8490953244176899
Transfer_Optimized_Hybrid,15,0.2667152896846486,0.8909401855573132,0.3445476715099992,0.8542600129972295
Transfer_Optimized_Hybrid,16,0.2612048714926154,0.8938218820813203,0.3672208059835879,0.8410917672811848
Transfer_Optimized_Hybrid,17,0.2553774982666601,0.896455598785754,0.34256750527283486,0.8514895509115162
Transfer_Optimized_Hybrid,18,0.24691794956141752,0.9014493992902647,0.34669613402837457,0.8527892738653077
Transfer_Optimized_Hybrid,19,0.24060876986139362,0.9045619735773227,0.35630601663985306,0.8515237541471423
Transfer_Optimized_Hybrid,20,0.23506364998431514,0.9079139766556928,0.3748522743118418,0.8468037076307419
Transfer_Optimized_Hybrid,21,0.22847469347298205,0.9112916328188465,0.35481311396509996,0.8519683962102815
Transfer_Optimized_Hybrid,22,0.22260957332031311,0.914720595151567,0.36467433298796575,0.8531313062215685
Transfer_Optimized_Hybrid,23,0.2176863664653436,0.9183034759929881,0.3691112426766032,0.850634470020864
Transfer_Optimized_Hybrid,24,0.21310239635005596,0.9208174783017657,0.3714700932398693,0.8511817217908814
Transfer_Optimized_Hybrid,25,0.20821294504183122,0.9237590320236009,0.3789164702955176,0.8505660635496118
Transfer_Optimized_Hybrid,26,0.20505508591871976,0.9253922784214802,0.37916211549183876,0.8503608441358552
Transfer_Optimized_Hybrid,27,0.20233637403593724,0.9267689939715251,0.38323491677709653,0.8500188117795944
Transfer_Optimized_Hybrid,28,0.20017796291333134,0.9280003420411305,0.38466904770334326,0.8497451858945856
Transfer_Optimized_Hybrid,29,0.1985640709240596,0.9287699345846337,0.38648323404396323,0.8500188117795944
Transfer_Optimized_Hybrid,30,0.19769118595851626,0.9289238530933345,0.3866912267117745,0.8496767794233334
