Model_Name,Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
LSTM,1,0.6931729074414175,0.5025952370772585,0.6930029049664037,0.5066525293292745
LSTM,2,0.6927336714670277,0.5045876266621061,0.692829213679952,0.4998802886753087
LSTM,3,0.692440133362574,0.5048356064816795,0.692457028239681,0.5074734069843008
LSTM,4,0.6641237703521161,0.5938261575954509,0.6251169755006492,0.6677497691281595
LSTM,5,0.5889244267468454,0.7032194621403224,0.5494463933200407,0.7344118753634093
LSTM,6,0.519604767049545,0.7525674462354098,0.5005520294929866,0.7637924547662209
LSTM,7,0.4734072210208812,0.7817948608320151,0.47002734403650676,0.7836987379006054
LSTM,8,0.4420213503065215,0.7997776732652101,0.44553897015560046,0.7965933577316414
LSTM,9,0.41987209930156516,0.8128949506178118,0.43209655465324426,0.8049047439887813
LSTM,10,0.40052262897611535,0.8232416948138014,0.4204568176596208,0.8120532202346342
LSTM,11,0.3859499716298486,0.8324083971097525,0.4075432254389674,0.8193043061873653
LSTM,12,0.37355297785402847,0.839411689255633,0.400541408942402,0.8225194103362178
LSTM,13,0.363063874185414,0.843849672923169,0.39595805001873713,0.8253240756575572
LSTM,14,0.35475157403926555,0.8489460857668134,0.39066380927491523,0.8273420665594965
LSTM,15,0.3479694836003798,0.8513660267647185,0.38903442975919184,0.8314806580702534
LSTM,16,0.3404014010700838,0.85554747958442,0.3829698859758472,0.8316174710127578
LSTM,17,0.3318205986775136,0.8598315447432554,0.3825573177465594,0.8356534528166365
LSTM,18,0.3252347051174798,0.8633460173585874,0.37899016673862473,0.8376030372473235
LSTM,19,0.31918883844104706,0.8664158365043396,0.375824574256117,0.8385949310804802
LSTM,20,0.3136496062409022,0.869143614519646,0.37610080130988216,0.8396894346205152
LSTM,21,0.308190570527111,0.8723759032023601,0.3729447213113644,0.838492321373602
LSTM,22,0.3040718354811965,0.8744281499850357,0.37201864023204867,0.8406813284536717
LSTM,23,0.29931664101544053,0.8764803967677113,0.3756914023843441,0.8419810514074632
LSTM,24,0.29604630649823754,0.8786951130873487,0.3766587293070163,0.8423572869993501
LSTM,25,0.29107096531916216,0.8812946256787378,0.37114803362089227,0.8423572869993501
LSTM,26,0.2876343230815038,0.8830646885287956,0.37605658209135917,0.8437254164243937
LSTM,27,0.2836999597318655,0.8854333233571337,0.37609834746879484,0.8436570099531415
LSTM,28,0.2800440896086962,0.8867843858223952,0.38084058420200717,0.843793822895646
LSTM,29,0.2770755683791159,0.8888280815768096,0.37839279030018225,0.8435544002462633
LSTM,30,0.273440377783809,0.8908204711616572,0.37884512256123637,0.8435886034818894
1D_CNN,1,0.6629798764935606,0.5874812946256788,0.570469358620404,0.6973697711803537
1D_CNN,2,0.512143908643219,0.7440762751720894,0.4765149249300918,0.767623217156343
1D_CNN,3,0.44900866638977516,0.7868998247039206,0.43921277099058215,0.7903341656120669
1D_CNN,4,0.41322460731336075,0.8095942537090085,0.41662940590188435,0.8057940281150597
1D_CNN,5,0.38911754472074567,0.8240625935268716,0.40220994344895045,0.8171495023429216
1D_CNN,6,0.37123035574852314,0.8341442558467655,0.3930067800982574,0.8223141909224613
