Epoch,No_Aug_Acc,No_Aug_Loss,Basic_Aug_Acc,Basic_Aug_Loss,MixUp_Acc,MixUp_Loss,CutMix_Acc,CutMix_Loss
1,1.5730598927988817,4.813793325527526,2.563505010487066,4.752498983283662,1.118620368212538,4.8289660345536305,1.106968072710324,4.821300938678276
2,2.808203216033559,4.665977985228195,1.106968072710324,4.509552924230429,1.4914938242833837,4.766913739099644,1.5031461197855978,4.763975207180476
3,3.926823584246097,4.416199791926228,5.91936611512468,4.321409468373411,2.144022372407364,4.711284046074533,1.5381030062922396,4.752676860156268
4,5.138662316476346,4.11250975029054,4.7657888604055,4.093073162680408,2.0158471218830107,4.671769891227955,1.7478443253320903,4.72354700740605
5,8.005127010020974,3.899907737279817,7.713819622465626,3.919416087928425,3.0762060125844792,4.6424893614331335,2.004194826380797,4.709566932496358
6,8.005127010020974,3.697128450737375,11.687252388720578,3.748036060954833,3.3908179911442553,4.593455960699312,2.19063155441622,4.689740453050184
7,12.130039617804709,3.4798215713714,14.02936378466558,3.579245746403977,3.833605220228385,4.548814334239855,3.0062922395711955,4.671285921622364
8,13.807970170123514,3.2406933794897546,17.711489163365183,3.3875213698717648,3.7636914472151015,4.517721172173156,3.3675134001398277,4.618642926712914
9,18.632020508040085,3.054884761666274,16.091820088557444,3.2834126201346034,4.38126310883244,4.4700668388693545,3.950128175250524,4.576724728776487
10,18.364017711489165,2.8554436290119067,21.52178979258914,3.0782229378533814,5.406665113027266,4.407212203414187,4.614309018876718,4.529701480270923
11,21.07900256350501,2.6197648053567475,19.44768119319506,2.9044111608803163,5.86110463761361,4.3786946496361,4.905616406432067,4.482108880567797
12,19.44768119319506,2.407360786357548,25.332090421813096,2.7464217123418555,6.24563038918667,4.327311570176603,7.003029596830576,4.441259832933835
13,27.802377068282453,2.1627540833593546,28.105336751340012,2.576160593099605,8.774178513167094,4.297284752155348,7.6089489629457,4.39772734011704
14,26.21766487998136,1.900831061117767,28.816126776975064,2.4391104801433605,5.290142158005127,4.271439707702469,7.259380097879283,4.36814079914198
15,27.61594034024703,1.6611528634468622,29.142391051037052,2.29305928296736,9.683057562339782,4.2382505838623405,6.024236774644605,4.329604288839781
16,28.000466091820087,1.4057948763002095,32.41668608715917,2.1480192975970898,10.62689349801911,4.185905232074202,10.12584479142391,4.296947772472297
17,28.32673036588208,1.1768069278003574,34.53740386856211,2.0317037728333958,12.118387322302494,4.152729566026914,10.661850384525751,4.2621596538736375
18,26.15940340247029,0.9447274465802552,36.35516196690748,1.9177385808666816,13.551619669074809,4.102952185303475,11.652295502213937,4.224096597800912
19,26.602190631554414,0.7755730785038257,38.25448613376835,1.8118582976263828,14.099277557678862,4.049490881753099,13.644838033092519,4.1907158264380175
20,27.70915870426474,0.6178939065986483,31.16989046842228,1.7030615907129516,14.938242833838267,4.0123957456956605,12.339780936844559,4.157571875665521
