Experiment,Epoch,Train_Loss,Val_Acc
ResNet-34 (No Scheduler),1,3.564317095797995,6.132461161079314
ResNet-34 (No Scheduler),2,3.278336701185807,9.78468247478877
ResNet-34 (No Scheduler),3,2.958507944189984,10.983919324066504
ResNet-34 (No Scheduler),4,2.701809617747432,13.818479149632052
ResNet-34 (No Scheduler),5,2.441230465018231,16.46225129463069
ResNet-34 (No Scheduler),6,2.1450473339661307,15.017715998909784
ResNet-34 (No Scheduler),7,1.831824336881223,16.026165167620604
ResNet-34 (No Scheduler),8,1.4437761021697002,16.925592804578905
ResNet-34 (No Scheduler),9,1.0212234144625456,13.982011447260836
ResNet-34 (No Scheduler),10,0.6845946052800054,20.57781411828836
ResNet-34 (No Scheduler),11,0.3849576294422149,16.59852820932134
ResNet-34 (No Scheduler),12,0.1412455585015856,22.18588171163805
ResNet-34 (No Scheduler),13,0.0470482584898886,26.601253747615157
ResNet-34 (No Scheduler),14,0.0189362015737139,28.10029980921232
ResNet-34 (No Scheduler),15,0.0119160821175445,28.29108748977923
ResNet-34 (No Scheduler),16,0.0090931658673545,28.727173616789315
ResNet-34 (No Scheduler),17,0.0081337024295783,28.454619787408014
ResNet-34 (No Scheduler),18,0.0063996579113375,27.77323521395476
ResNet-34 (No Scheduler),19,0.005697035174007,28.56364131916053
ResNet-34 (No Scheduler),20,0.0050416075948463,28.86345053147997
ResNet-34 (No Scheduler),21,0.0049777560280231,28.509130553284272
ResNet-34 (No Scheduler),22,0.0040988614995275,28.37285363859362
ResNet-34 (No Scheduler),23,0.0040331712438036,28.018533660397928
ResNet-34 (No Scheduler),24,0.0088022268225398,25.674570727718724
ResNet-34 (No Scheduler),25,0.0075900319346186,27.855001362769148
ResNet-34 (No Scheduler),26,0.0039324916909327,28.045789043336057
ResNet-34 (No Scheduler),27,0.0036599189043045,27.664213682202234
ResNet-34 (No Scheduler),28,0.0031632816489866,27.909512128645407
ResNet-34 (No Scheduler),29,0.0029064292159012,27.9912782774598
ResNet-34 (No Scheduler),30,0.0027517929683317,27.96402289452167
ResNet-34 (No Scheduler),31,0.0025210004770601,28.15481057508858
ResNet-34 (No Scheduler),32,0.0025351315063586,27.33714908694467
ResNet-34 (No Scheduler),33,0.002444002569815,27.88225674570728
ResNet-34 (No Scheduler),34,0.0022760212659309,27.664213682202234
ResNet-34 (No Scheduler),35,0.0020507543337652,27.909512128645407
ResNet-34 (No Scheduler),36,0.0022879256472072,28.23657672390297
ResNet-34 (No Scheduler),37,0.002036624706006,27.909512128645407
ResNet-34 (No Scheduler),38,0.001795758675966,27.909512128645407
ResNet-34 (No Scheduler),39,0.0019326432689052,28.15481057508858
ResNet-34 (No Scheduler),40,0.0016707386507693,28.454619787408014
ResNet-34 (No Scheduler),41,0.0018498600607373,28.29108748977923
ResNet-34 (No Scheduler),42,0.001660598114477,28.07304442627419
ResNet-34 (No Scheduler),43,0.0017523921717403,27.96402289452167
ResNet-34 (No Scheduler),44,0.0016169165929212,28.12755519215045
ResNet-34 (No Scheduler),45,0.0014925118692664,28.509130553284272
ResNet-34 (No Scheduler),46,0.001446225407594,27.909512128645407
ResNet-34 (No Scheduler),47,0.0015267470375756,28.20932134096484
ResNet-34 (No Scheduler),48,0.0014969278430647,28.20932134096484
ResNet-34 (No Scheduler),49,0.0012482351699398,28.045789043336057
ResNet-34 (No Scheduler),50,0.001309220645192,28.10029980921232
ResNet-34 (No Scheduler),51,0.0011669059451062,28.182065958026712
ResNet-34 (No Scheduler),52,0.0011629989818649,28.07304442627419
ResNet-34 (No Scheduler),53,0.001218345177704,27.96402289452167
