epoch,train_loss,val_loss,val_miou
1,0.6578614268192026,0.6526097059249878,8.513749438516377e-12
2,0.6377450796060784,0.6176282688975334,8.513749438516377e-12
3,0.5702204073584357,0.5632883459329605,8.513749438516377e-12
4,0.542964473713276,0.5408509708940983,8.513749438516377e-12
5,0.4685079995975938,0.4234583117067814,8.513749438516377e-12
6,0.41063469856284385,0.3741823546588421,8.513749438516377e-12
7,0.348760116932004,0.37261518836021423,8.513749438516377e-12
8,0.3359179514092068,0.30999132990837097,0.562362402677536
9,0.30701196470925973,0.29356229305267334,0.5068606659770012
10,0.260471940387127,0.3265642300248146,0.3913276605308056
11,0.2524223112782767,0.266809169203043,0.5041471533477306
12,0.22911301775034085,0.3295502997934818,0.5127371214330196
13,0.23582623587098234,0.2613883353769779,0.5486215688288212
14,0.20752505438272342,0.2660062164068222,0.562120608985424
15,0.2365145497890406,0.2396170375868678,0.6620122268795967
16,0.19604925118213476,0.27604302763938904,0.5494398735463619
17,0.19783129647027614,0.22302128467708826,0.6901579461991787
18,0.19813844596230706,0.2678568046540022,0.6087452452629805
19,0.19794663925503575,0.2889352776110172,0.5571180451661348
20,0.19104071013456167,0.2140185721218586,0.7305634804069996
21,0.21194489577481912,0.20865167677402496,0.7399411797523499
22,0.20052297898503238,0.21429586596786976,0.7276888936758041
23,0.203729331666647,0.221694047562778,0.6878721304237843
24,0.1952300825437834,0.24994323961436749,0.6318806204944849
25,0.19889556755160176,0.27937582321465015,0.6244474090635777
26,0.1894426619590715,0.23432977218180895,0.6710657086223364
27,0.1940502281798873,0.2716306671500206,0.5860737599432468
28,0.19587021962154744,0.3394323755055666,0.5414185337732291
29,0.178821514338948,0.26142526138573885,0.669882720336318
30,0.18690603278404058,0.24735326413065195,0.646228551864624
31,0.18941371316133543,0.22517894953489304,0.6876086723059416
32,0.17588610011477804,0.27029325999319553,0.6316628053318709
33,0.17061683812806772,0.23912530113011599,0.6535578966140747
34,0.17276832184126212,0.2840875890105963,0.628428285010159
35,0.19054262218780296,0.23940125200897455,0.6561912288889289
36,0.1735192459336547,0.24105292651802301,0.6525426050648093
37,0.165606303790281,0.26185870124027133,0.6498990233521909
38,0.16245933916679647,0.24006514297798276,0.6654270549770445
39,0.1742861667691275,0.23328606504946947,0.6727655930444598
40,0.1692032268227533,0.22100475523620844,0.6774257658980787
41,0.1567302396477655,0.2407504403963685,0.6634923310775775
