epoch,train_loss,train_acc,val_loss,val_acc
1,1.4246,0.6625,0.7563,0.77
2,0.6994,0.8066,0.705,0.7881
3,0.4334,0.8827,0.7242,0.7817
4,0.2554,0.9356,0.6879,0.7967
5,0.1585,0.9663,0.6784,0.8012
6,0.0996,0.9828,0.6878,0.8068
7,0.067,0.9905,0.7257,0.7942
8,0.0496,0.9932,0.6999,0.8128
