epoch,train_loss,train_acc,val_loss,val_acc
1,4.3727,0.2031,3.5755,0.571
2,3.2758,0.5634,2.2243,0.7232
3,2.3668,0.6697,1.4499,0.7779
4,1.7878,0.7214,1.0519,0.8036
5,1.4188,0.7577,0.8462,0.8178
6,1.1835,0.7849,0.742,0.8255
7,1.0035,0.8076,0.6773,0.8297
8,0.8782,0.8267,0.6261,0.833
9,0.778,0.8456,0.6022,0.8332
10,0.6783,0.8666,0.583,0.8357
